,country,tweets_by_country,avg(CAST(polarity AS DOUBLE)),std_polarity,avg_subjectivity,std_subjectivity
0,NL,1,-0.2333333333333333,0.0,0.43333333333333335,0.0
1,PT,1,0.0,0.0,0.0,0.0
2,IN,4,-0.06349206349206349,0.06941609398625358,0.19226190476190474,0.295772246256015
3,BE,1,0.0,0.0,0.06666666666666667,0.0
4,??,614,0.052289882800876285,0.2768842771090931,0.3562051850610482,0.3551918157470384
